Humidity,Wet Bulb Temperature,Wind Speed,Solar Radiation
74,19.7,1.5,0
73,14.8,2.5,1
77,14.8,3.5,0
76,19.6,1.7,0
78,19.6,1.2,0
79,14.8,1.7,0
81,19.6,1.5,0
80,14.8,0.5,0
82,19.6,0.8,2
82,14.8,0.9,5
85,14.8,2.5,54
87,19.7,0.5,86
84,14.8,0.3,107
86,19.7,1.3,58
80,18.8,1.2,52
83,14.8,1.7,42
89,18.5,0.7,68
89,14.8,3.5,31
90,14.8,3.2,112
94,11.4,4.3,90
90,8.5,3.5,232
94,10.4,5.5,151
94,9.6,7.0,76
90,8.5,4.3,150
88,8.5,8.3,77
93,9.2,6.7,67
88,8.5,8.0,56
93,8.9,8.0,47
93,8.6,8.2,51
89,8.5,9.2,34
89,8.5,7.4,26
93,8.6,8.2,16
95,8.2,7.7,26
86,8.5,11.2,40
92,7.5,8.8,12
84,8.5,6.6,3
91,7.4,10.2,5
82,8.5,9.4,0
91,7.5,9.0,3
88,7.2,9.1,3
81,8.5,9.0,0
87,7.2,8.0,3
81,8.5,10.8,0
83,8.5,10.6,0
88,7.1,7.9,3
85,8.5,8.6,1
89,6.8,8.3,4
84,8.5,9.7,0
90,6.6,8.7,3
89,6.5,8.2,4
86,8.5,7.0,1
90,6.2,8.9,4
89,8.5,9.0,6
93,6.6,8.0,7
93,7.0,6.5,19
88,8.5,4.5,16
93,6.9,6.7,41
86,8.5,4.0,37
89,6.9,6.4,67
84,8.5,4.1,78
81,8.5,6.4,156
88,7.0,7.3,110
82,8.5,5.9,191
87,7.3,6.2,139
80,8.5,6.3,223
84,7.3,7.0,236
84,7.6,6.6,436
78,8.5,4.0,332
78,8.5,4.0,417
80,7.6,7.1,260
80,8.0,5.1,295
75,8.5,6.9,359
80,7.5,5.9,177
77,8.5,3.2,324
77,8.5,5.2,261
80,7.3,5.7,307
77,8.5,5.9,147
82,7.5,5.2,158
82,7.2,4.3,37
79,8.5,3.4,38
79,8.5,4.8,10
81,7.2,4.3,13
78,8.5,4.8,0
80,7.0,4.9,3
81,7.1,3.3,3
76,8.5,2.5,0
80,8.5,2.7,0
83,7.0,2.4,3
82,8.5,1.7,0
84,7.6,1.6,3
78,8.5,3.2,0
84,8.7,2.6,3
74,8.5,3.2,0
78,8.0,4.4,3
78,8.5,4.0,0
82,7.7,4.4,3
78,8.5,4.9,0
82,7.7,4.7,3
85,8.0,2.9,4
80,8.5,4.6,0
81,8.5,6.2,36
84,7.7,4.3,24
85,7.9,3.4,82
81,8.5,4.0,103
85,7.8,3.7,80
81,8.5,2.5,123
82,8.5,3.1,240
79,8.5,3.3,298
85,7.7,3.2,354
84,7.6,3.4,318
80,8.5,2.1,501
83,7.5,4.1,705
76,8.5,2.2,612
77,8.5,2.6,646
81,7.8,3.0,931
80,8.3,4.0,923
78,8.5,2.4,843
80,8.3,3.9,788
74,8.5,3.9,763
74,8.5,3.4,642
78,8.0,4.0,651
73,7.8,3.2,34
67,8.5,3.1,488
66,8.5,2.3,317
69,7.6,2.3,30
66,8.5,3.1,153
69,7.5,2.8,24
71,7.3,2.2,11
69,8.5,1.7,17
69,8.5,2.4,0
71,7.3,2.7,3
70,8.5,2.7,0
72,7.2,1.4,2
67,8.5,2.8,0
71,7.1,1.1,3
70,7.1,0.0,2
71,8.5,1.4,0
68,8.5,1.7,0
66,7.1,0.0,3
76,8.5,2.2,0
78,7.8,0.6,3
77,8.0,1.3,3
77,8.5,2.0,0
81,8.3,1.7,3
80,8.5,2.3,0
83,8.5,1.3,0
84,8.1,1.0,4
84,8.5,1.4,116
82,8.5,1.7,65
80,8.5,0.7,210
83,8.7,1.9,458
81,8.5,2.4,376
81,9.2,1.3,630
80,8.5,0.9,542
79,8.5,1.9,685
81,9.5,1.1,772
77,8.5,1.3,798
84,10.2,2.0,878
79,8.5,1.9,857
76,8.5,1.1,878
81,11.3,1.4,927
76,12.1,1.1,881
76,8.5,0.6,855
78,8.5,1.9,763
67,12.4,0.7,644
76,8.5,1.9,640
74,8.5,2.0,481
74,11.7,0.0,36
76,8.5,2.8,313
76,11.5,0.6,42
77,8.5,0.6,158
79,8.5,1.6,16
74,11.1,0.8,10
80,8.5,0.9,0
70,10.5,0.8,2
